FloatShares,Ticker,Price,52 week high,52 week low,avg Daily Volume,50 day Moving Average,200 day moving average,price/eps estimate this year,price/eps estimate next year,Short Ratio
738000,BOSC_nasdaq,2.7801,1.48,8.2,24753,2.9686,3.6316,N/A,N/A,0.7
98118000,BEAV_nasdaq,62.62,36.51,66.49,901202,63.4732,57.525,17.79,14.84,2.4
277288000,BIDU_nasdaq,90.31,82.98,134.71,4099950,95.728,94.7557,18.21,14.38,3.8
29162000,BCPC_nasdaq,44.5,31.23,48.76,73788,46.2674,41.7644,28.34,23.3,5.8
9274000,BWINA_nasdaq,24.15,21.43,26.7,645,23.9429,23.8631,N/A,N/A,3.2
9274000,BWINB_nasdaq,24.3,21.36,25.06,14533,24.0497,23.799,19.44,16.2,11
98278000,BLDP_nasdaq,1.81,0.56,2.39,1229490,1.6394,1.0482,N/A,N/A,1.5
6077000,BANF_nasdaq,48.42,39.13,48.97,18225,44.5066,42.3309,14.54,14.16,9.6
0,BANFP_nasdaq,27.46,26.1,36.2,362,27.1166,27.2214,N/A,N/A,N/A
42935000,BKMU_nasdaq,5.65,3.87,5.95,98203,5.6677,5.3201,25.68,22.6,6.5
14191000,BOCH_nasdaq,4.94,4,5.36,15266,4.9394,4.9404,9.15,8.23,0.3
